584019ea08523b4f447a9f46;university;Duke_University|http://dbpedia.org/resource/Duke_University
584019ea8e362783ba09dbc6;university;École_pour_l'informatique_et_les_nouvelles_technologies|http://dbpedia.org/resource/École_pour_l'informatique_et_les_nouvelles_technologies
584019ea8e362783ba09df9d;university;Hanoi_University_of_Science_and_Technology|http://dbpedia.org/resource/Hanoi_University_of_Science_and_Technology
584019ea1ab2ca076d491ef6;company;UTair_Aviation|http://dbpedia.org/resource/UTair_Aviation
584019ea9fb6040fcf79fe06;company;Athens_Airways|http://dbpedia.org/resource/Athens_Airways
584019eacaa3a7bdf9731bd7;company;Air_Kasai|http://dbpedia.org/resource/Air_Kasai
584019ea7032c19219f6f3d9;company;Pelita_Air_Service|http://dbpedia.org/resource/Pelita_Air_Service
584019eabfb623bd12fd67c8;company;Bravo_Airlines|http://dbpedia.org/resource/Bravo_Airlines
584019eb1ab2ca076d492037;company;Norrlandsflyg|http://dbpedia.org/resource/Norrlandsflyg
584019eac4006b021274125b;company;Transwede_Airways|http://dbpedia.org/resource/Transwede_Airways
584019eabfb623bd12fd6ac0;company;Volare_Airlines_(Ukraine)|http://dbpedia.org/resource/Volare_Airlines_(Ukraine)
584019ea8e362783ba09dc7a;company;Vladivostok_Air|http://dbpedia.org/resource/Vladivostok_Air
584019eacaa3a7bdf97311ff;company;Teebah_Airlines|http://dbpedia.org/resource/Teebah_Airlines
584019eacaa3a7bdf973143f;company;Federal_Air|http://dbpedia.org/resource/Federal_Air
584019eacaa3a7bdf9731444;company;Safarilink_Aviation|http://dbpedia.org/resource/Safarilink_Aviation
584019ebcaa3a7bdf9732131;company;Zoom_Airlines_Limited|http://dbpedia.org/resource/Zoom_Airlines_Limited
584019ea8e362783ba09e06a;company;South_African_Airways|http://dbpedia.org/resource/South_African_Airways
584019eae0717d6cf7858917;company;Air_Sweden|http://dbpedia.org/resource/Air_Sweden
584019eae0717d6cf7859663;company;Flyjet|http://dbpedia.org/resource/Flyjet
584019eacaa3a7bdf97313d6;company;Cobham_Aviation_Services_Australia|http://dbpedia.org/resource/Cobham_Aviation_Services_Australia
584019ea3cbd56b2202eace5;company;Austrojet|http://dbpedia.org/resource/Austrojet
584019ea3cbd56b2202eb317;company;CHC_Airways|http://dbpedia.org/resource/CHC_Airways
584019eb18ba2c2c60e7fc9b;company;SwedJet_Airways|http://dbpedia.org/resource/SwedJet_Airways
584019eacaa3a7bdf973155e;company;Domodedovo_Airlines|http://dbpedia.org/resource/Domodedovo_Airlines
584019eacaa3a7bdf9731573;company;Corporate_Express_(airline)|http://dbpedia.org/resource/Corporate_Express_(airline)
584019eabfb623bd12fd7255;company;Air_Moldova|http://dbpedia.org/resource/Air_Moldova
584019ea8d706789cdcea6de;person;513907200000|Firefox|Anshun|Asia|China|1287247032960|Jun4398046518112@gmail.com|Jun|female|Li|1.1.5.88|zh
